,HD Full Run,SD Full Run,CD Full Run,HD 1 Scramble Run,HD 2 Scramble Run,SD 1 Scramble Run
# Districts Scrambled,110,38,13,13,15,8
# Districts Fixed,0,0,0,97,95,30
"Max # of VRA (0.44, 0.48) While OEG Serial Beats State",0,4,2,12,12,4
"Max # of VRA (0.44, 0.48) While |OEG Serial| < .04",10,4,2,12,12,4
"Max # of VRA (0.44, 0.48) While SEG Serial Beats State",0,4,2,12,11,4
"Max # of VRA (0.44, 0.48) While |SEG Serial| < .04",11,4,2,12,12,4
"Max # of VRA (0.44, 0.48) While OEG Index 0 Beats State",0,4,2,12,12,4
"Max # of VRA (0.44, 0.48) While |OEG Index 0| < .04",11,4,2,12,12,4
"Max # of VRA (0.44, 0.48) While SEG Index 0 Beats State",11,4,2,0,0,4
"Max # of VRA (0.44, 0.48) While |SEG Index 0| < .04",11,4,2,12,12,4
"Max # of VRA (0.44, 0.48) While OEG Index 1 Beats State",9,4,2,12,12,4
"Max # of VRA (0.44, 0.48) While |OEG Index 1| < .04",11,4,2,12,12,4
"Max # of VRA (0.44, 0.48) While SEG Index 1 Beats State",11,4,2,12,12,4
"Max # of VRA (0.44, 0.48) While |SEG Index 1| < .04",12,4,2,12,12,4
"Max # of VRA (0.44, 0.48) While OEG Index 3 Beats State",9,4,2,12,12,4
"Max # of VRA (0.44, 0.48) While |OEG Index 3| < .04",11,4,2,12,12,4
"Max # of VRA (0.44, 0.48) While SEG Index 3 Beats State",11,4,2,0,0,4
"Max # of VRA (0.44, 0.48) While |SEG Index 3| < .04",12,4,2,12,12,4
